id,price,rooms,squareMeters,year,month
c00cf10ad5f44bc687b6f33d6e4b128e,799000,3.0,58,2023,8
d84b83093b4110ee670de3a0389ca9fd,620000,2.0,62,2023,8
09a2a3a881d85670d708ddfa2f4ff3c4,749000,2.0,36,2023,8
112faf08e4f4e545a22683c3b1fbf36a,850000,3.0,58,2023,8
ec6294d5df97633b2aca04a0535a54a2,855000,3.0,78,2023,8
45c08979686d390b58958a8710b48712,1290000,3.0,98,2023,8
dadc8c97ca0b3ce2c49b7ad2f6e1449a,1750000,5.0,114,2023,8
e857cae587c7ff983a855d4f5a61ae37,597000,1.0,27,2023,8
93845d7187048f0150d7c34e63aa5719,850000,2.0,48,2023,8
af8272fdb9970829c215d1b30325492f,960000,3.0,84,2023,8
2dc46f4ec717732e95a9d5d571c71059,1150000,4.0,92,2023,8
58783048859745027d364badba0645eb,640000,2.0,33,2023,8
cf59b0ba62cc110e7b7f2601bc38dd0e,1200000,3.0,56,2023,8
4b4fdd70e2bec522dc34a6bc3f510bf2,1850099,4.0,80,2023,8
e1a26452c8309826e231e0e0e6bfceda,1699000,3.0,64,2023,8
55b9a7a8280bf991dc6feb82b0ba5d07,2205923,4.0,128,2023,8
1919e8ba2b49841644594402c41e74ec,650000,2.0,45,2023,8
5b1de317fae3784cc825a4cfbf1097d5,2040000,3.0,71,2023,8
43cea6c13f0c057aeb600b0b66bbb698,839000,2.0,46,2023,8
3715f4d2b0b0fe8dd1231e7bbaa71c17,889000,2.0,60,2023,8
33888bc0eb04c8560bfc708fb1e382cf,1200000,4.0,80,2023,8
41c77094522fdc5afb54e296b4c5a15d,520000,2.0,31,2023,8
34e638eb7c8f0a5fac4283248686d915,1099000,3.0,69,2023,8
88e3d7208d0e775b00090f7024cf8429,1100000,2.0,64,2023,8
a8883508ce5732fa5a79d1fc460111e2,790000,3.0,60,2023,8
a094e32acc5a13db564985e8d34ada47,609000,1.0,32,2023,8
9888656c6ad0722e7f6b4dde2cd85aab,590000,1.0,34,2023,8
a586b89d51ff784b980cbf852054f962,1350000,3.0,68,2023,8
f5363fb85a26afba2dad8a4c9bd75286,480000,2.0,44,2023,8
6c279fef083d3a41b0d06bf3f7fc4d9b,520000,2.0,43,2023,8
a8405aeaf60dfed06c64e28dfdfabcb9,854000,2.0,45,2023,8
621902f5fa139b2c386e832518cf4077,580000,2.0,58,2023,8
40d96f4e26ce277212d6fde82621a89b,979000,3.0,61,2023,8
fcec3722e62745c9d2af4d9c5218b136,1550000,3.0,65,2023,8
8e7e2915933929eef74069910afc2cc8,925000,2.0,50,2023,8
aae3a9a1fba85d569c70b558840c3939,1840000,3.0,80,2023,8
68f8d03d5df741fbad1ffa87f53108cc,1850000,5.0,133,2023,8
8e3b52c2532ab8f88bd60d84bd412a62,1550000,3.0,78,2023,8
edfe00195806cda3016a1f1d1bbfac6e,515000,2.0,40,2023,8
7eedc8bd0818b893397c566e6c22c75c,612000,2.0,51,2023,8
2e7149c558224e43862743e3f7de1036,949999,2.0,54,2023,8
def3beeb0101246e9f030b74f2a97696,769000,4.0,73,2023,8
a67b62d95fea23bf4147741a53abd0df,1450100,4.0,85,2023,8
26e0a979e7144d0892a2811697b3ec73,1740000,4.0,89,2023,8
5d40e064d4d2ffb1ee070d6c89b77a86,669000,1.0,33,2023,8
79445fa0816516821b419d9dd6da53eb,998000,4.0,109,2023,8
38c06547c1cf23083edeef477d922d80,595000,2.0,46,2023,8
54b612bbdac51378c0d814f14001cba7,740000,4.0,85,2023,8
9d13b2e449add1a9e6c5a1bda86a63a6,825000,3.0,52,2023,8
436f23cca8c40c5ecfb1a74223742b51,1510000,5.0,93,2023,8
5b92027b6eb0421baf2757be3df4a009,854700,2.0,55,2023,8
d1c24663c30c439ee6fc37244aec9cb0,870000,3.0,62,2023,8
d31fc4f441beffe03b86e713a1dde4dc,870000,2.0,53,2023,8
2c4975467efd4009bd10e0b625e259d1,735000,4.0,67,2023,8
e6f9fd01b919f372bda97873ec8284ca,505000,2.0,34,2023,8
89e4802ccb0df84bc210889dc9d44860,799000,2.0,51,2023,8
dd34ba05091042f162847bfb4180193b,790000,3.0,58,2023,8
c320eda32ad36aab3e01108a326f137b,850000,2.0,60,2023,8
71799d4526262fa31eeeaab27f1aab19,885000,3.0,48,2023,8
bc54b793cdd68aef7b04e558935fcb33,800000,3.0,67,2023,8
6d2658bda9aba7aeee053f2f1a5ea50c,1625000,3.0,82,2023,8
4c075bea311c87e31f0deac2d46f7757,2050000,4.0,115,2023,8
139fc766149dd9f7275abf9ae53a2a36,736941,3.0,59,2023,8
605030dbf8a5fe27aa21b68c628f9193,1415000,2.0,57,2023,8
67f3839d252ee143e43dd87ef1701ad9,450000,2.0,40,2023,8
9c9dd9e4e06b6dca53d6126e5d5b803e,1750000,4.0,122,2023,8
adb69a9fad302242e1fb0fe611db6418,2170000,4.0,76,2023,8
42a77352fd9d591661712f097e7b639c,1747980,3.0,65,2023,8
71d047c8ed61d28a08a1a8a4e2a9cdd9,1559000,5.0,106,2023,8
df589217c748c038cc8a7f342855d4ba,1597000,3.0,94,2023,8
d451ffcaebb38d6160e270ddd64adab0,740000,2.0,50,2023,8
6c6a8d6c0edec12ddcb54c14ce52b79d,999000,2.0,44,2023,8
2cbcb87ac73a0d37f174305ecf4e4741,1640000,4.0,88,2023,8
b9be56ac797cd15c0b9e146e156a45ed,1450000,4.0,92,2023,8
